meme_id,timestep,agent1,agent2
194,6,30.0,32.0
194,6,30.0,33.0
194,6,30.0,34.0
194,6,30.0,35.0
194,6,30.0,36.0
194,6,30.0,37.0
194,6,30.0,38.0
194,6,30.0,39.0
30,6,1l,5.0
30,6,1l,7.0
30,6,1l,16.0
30,6,1l,47.0
30,6,1l,0h
115,6,19.0,9.0
179,6,29.0,19.0
153,6,1l,5.0
153,6,1l,7.0
153,6,1l,16.0
153,6,1l,47.0
153,6,1l,0h
198,6,10.0,11.0
198,6,10.0,12.0
198,6,10.0,13.0
198,6,10.0,14.0
198,6,10.0,15.0
198,6,10.0,16.0
198,6,10.0,17.0
198,6,10.0,18.0
198,6,10.0,19.0
204,6,40.0,41.0
204,6,40.0,42.0
204,6,40.0,43.0
204,6,40.0,44.0
204,6,40.0,45.0
204,6,40.0,46.0
204,6,40.0,47.0
204,6,40.0,48.0
204,6,40.0,49.0
41,6,1l,5.0
41,6,1l,7.0
41,6,1l,16.0
41,6,1l,47.0
41,6,1l,0h
210,7,40.0,41.0
210,7,40.0,42.0
210,7,40.0,43.0
210,7,40.0,44.0
210,7,40.0,45.0
210,7,40.0,46.0
210,7,40.0,47.0
210,7,40.0,48.0
210,7,40.0,49.0
153,7,19.0,9.0
16,7,0h,9.0
16,7,0h,14.0
16,7,0h,19.0
16,7,0h,34.0
16,7,0h,1l
213,7,10.0,11.0
213,7,10.0,12.0
213,7,10.0,13.0
213,7,10.0,14.0
213,7,10.0,15.0
213,7,10.0,16.0
213,7,10.0,17.0
213,7,10.0,18.0
213,7,10.0,19.0
214,7,39.0,29.0
220,7,0.0,1.0
220,7,0.0,2.0
220,7,0.0,3.0
220,7,0.0,4.0
220,7,0.0,5.0
220,7,0.0,6.0
220,7,0.0,7.0
220,7,0.0,8.0
220,7,0.0,9.0
30,7,0h,9.0
30,7,0h,14.0
30,7,0h,19.0
30,7,0h,34.0
30,7,0h,1l
41,7,19.0,9.0
41,7,1l,5.0
41,7,1l,7.0
41,7,1l,16.0
41,7,1l,47.0
41,7,1l,0h
232,7,10.0,11.0
232,7,10.0,12.0
232,7,10.0,13.0
232,7,10.0,14.0
232,7,10.0,15.0
232,7,10.0,16.0
232,7,10.0,17.0
232,7,10.0,18.0
232,7,10.0,19.0
234,7,19.0,9.0
235,7,30.0,31.0
235,7,30.0,32.0
235,7,30.0,33.0
235,7,30.0,34.0
235,7,30.0,35.0
235,7,30.0,36.0
235,7,30.0,37.0
235,7,30.0,38.0
235,7,30.0,39.0
246,8,0.0,1.0
246,8,0.0,2.0
246,8,0.0,3.0
246,8,0.0,4.0
246,8,0.0,5.0
246,8,0.0,6.0
246,8,0.0,7.0
246,8,0.0,8.0
246,8,0.0,9.0
253,8,29.0,19.0
254,8,30.0,31.0
254,8,30.0,32.0
