agent_id,meme_id,reshared_by_agent,timestep
29.0,5,39.0,1
21.0,9,20.0,1
22.0,9,20.0,1
23.0,9,20.0,1
24.0,9,20.0,1
25.0,9,20.0,1
26.0,9,20.0,1
27.0,9,20.0,1
28.0,9,20.0,1
29.0,9,20.0,1
19.0,12,29.0,1
11.0,17,10.0,1
12.0,17,10.0,1
13.0,17,10.0,1
14.0,17,10.0,1
15.0,17,10.0,1
16.0,17,10.0,1
17.0,17,10.0,1
18.0,17,10.0,1
19.0,17,10.0,1
19.0,22,29.0,1
9.0,23,19.0,1
5.0,24,1l,1
7.0,24,1l,1
16.0,24,1l,1
47.0,24,1l,1
0h,24,1l,1
41.0,26,40.0,1
42.0,26,40.0,1
43.0,26,40.0,1
44.0,26,40.0,1
45.0,26,40.0,1
46.0,26,40.0,1
47.0,26,40.0,1
48.0,26,40.0,1
49.0,26,40.0,1
11.0,27,10.0,1
12.0,27,10.0,1
13.0,27,10.0,1
14.0,27,10.0,1
15.0,27,10.0,1
16.0,27,10.0,1
17.0,27,10.0,1
18.0,27,10.0,1
19.0,27,10.0,1
21.0,35,20.0,1
22.0,35,20.0,1
23.0,35,20.0,1
24.0,35,20.0,1
25.0,35,20.0,1
26.0,35,20.0,1
27.0,35,20.0,1
28.0,35,20.0,1
29.0,35,20.0,1
21.0,36,20.0,1
22.0,36,20.0,1
23.0,36,20.0,1
24.0,36,20.0,1
25.0,36,20.0,1
26.0,36,20.0,1
27.0,36,20.0,1
28.0,36,20.0,1
29.0,36,20.0,1
39.0,26,49.0,1
21.0,44,20.0,1
22.0,44,20.0,1
23.0,44,20.0,1
24.0,44,20.0,1
25.0,44,20.0,1
26.0,44,20.0,1
27.0,44,20.0,1
28.0,44,20.0,1
29.0,44,20.0,1
11.0,48,10.0,2
12.0,48,10.0,2
13.0,48,10.0,2
14.0,48,10.0,2
15.0,48,10.0,2
16.0,48,10.0,2
17.0,48,10.0,2
18.0,48,10.0,2
19.0,48,10.0,2
9.0,48,19.0,2
1.0,51,0.0,2
2.0,51,0.0,2
3.0,51,0.0,2
4.0,51,0.0,2
5.0,51,0.0,2
6.0,51,0.0,2
7.0,51,0.0,2
8.0,51,0.0,2
9.0,51,0.0,2
21.0,53,20.0,2
22.0,53,20.0,2
23.0,53,20.0,2
24.0,53,20.0,2
